name,id,image_url,description,enabled,personalized,influencer_id,optimization_enabled
Consumer Staples,249,https://gainy-collections-production.s3.amazonaws.com/20220513/Consumer%20staples.jpg,"Companies that produce and distribute everyday household goods, e.g., food, beverages, cleaning supplies, clothing. This sector tends to do better than the market in times of uncertainty.",1,0,,1
Copper Mining,250,https://gainy-collections-production.s3.amazonaws.com/20220513/Copper%20mining.jpg,"Companies that produce and distribute copper. Key uses of copper are electrical wiring, roofing and plumbing, as well as industrial machinery.",1,0,,1
Crypto Exchanges,251,https://gainy-collections-production.s3.amazonaws.com/20220513/Crypto%20Exchanges.jpg,Cryptocurrency exchanges and investing or trading platforms.,1,0,,1
Crypto Mining,252,https://gainy-collections-production.s3.amazonaws.com/20220513/Cryptocurrencies%20mining.jpg,Cryptocurrency mining is performed using sophisticated hardware that solves complex math problems for verifying and processing blockchain transactions. Includes companies directly involved with the mining process.,1,0,,1
Electric Vehicles (EV),253,https://gainy-collections-production.s3.amazonaws.com/20220513/Electric%20vehicles%20(EV).jpg,Global electric vehicle companies listed on US stock exchanges.,1,0,,1
Farming Companies,254,https://gainy-collections-production.s3.amazonaws.com/20220513/Farming%20companies.jpg,"Farming companies producing poultry, fish, milk, meat etc.",1,0,,1
Firearms,255,https://gainy-collections-production.s3.amazonaws.com/20220513/Firearms.jpg,Companies that manufacture and distribute firearms and ammunition for military and civil use. Firearm stocks positively react on increased demand for firearms caused by social unrest and expected tightening of firearm regulations. ,1,0,,1
Food Retail Chains,256,https://gainy-collections-production.s3.amazonaws.com/20220513/Food%20retail%20chains.jpg,The largest food retail chains traded on the US stock market.,1,0,,1
Gambling and Betting,257,https://gainy-collections-production.s3.amazonaws.com/20220513/Gambling%20and%20betting.jpg,Global gambling companies listed on US stock exchanges.,1,0,,1
Health Insurance,258,https://gainy-collections-production.s3.amazonaws.com/20220513/Health%20insurance.jpg,"Companies engaged with health insurance products and benefits for B2B and B2C markets. Health expenses tend to grow with or faster than inflation. The countercyclical nature of the business may deliver better than the market returns in times of economic meltdowns. On the other hand, government regulations may negatively impact health insurance companies if the premiums are heavily regulated. ",1,0,,1
Healthcare,259,https://gainy-collections-production.s3.amazonaws.com/20220513/Healthcare.jpg,"The healthcare sector includes companies that produce drugs, medical devices, and provide medical services like health insurance and hospital administration. Health expenses tend to grow with or faster than inflation. Also, the countercyclical nature of the business may deliver better than the market returns in times of economic meltdowns. On the other hand, government regulations may negatively impact health insurance companies. ",1,0,,1
IT Infrastructure Monitoring Tools,260,https://gainy-collections-production.s3.amazonaws.com/20220513/IT%20Infrastructure%20Monitoring%20Tools.jpg,"ITIM tools capture the health and resource utilization of IT infrastructure components, including servers, containers, network devices, storage, and others.",1,0,,1
Internet of Things,261,https://gainy-collections-production.s3.amazonaws.com/20220513/Internet%20of%20things.jpg,"IoT companies cover multiple technologies, including ubiquitous computing and commodity sensors. Commercial products include ""smart home"" devices and appliances, such as lighting fixtures, thermostats, home security systems, and cameras. ",1,0,,1
Military and Defense,262,https://gainy-collections-production.s3.amazonaws.com/20220513/Military%20and%20Defence.jpg,"These companies manufacture military aircraft, defense systems, and firearms. They do well during growing military spending and in times of conflict.",1,0,,1
REIT Industrial,263,https://gainy-collections-production.s3.amazonaws.com/20220513/Real%20estate%20management%20(REIT%20Industrial).jpg,"Real estate investment trusts are companies that own and operate real estate. REITs tend to pay meaningful dividends from the rental income they generate. REITs may provide some inflation protection as the value of real estate and rental rates increase with inflation.

Industrial REITs may benefit from expansion of production facilities.",1,0,,1
REIT Office,264,https://gainy-collections-production.s3.amazonaws.com/20220513/Real%20estate%20management%20(REIT%20Office).jpg,"Real estate investment trusts are companies that own and operate real estate. REITs tend to pay meaningful dividends from the rental income they generate. REITs may provide some inflation protection as the value of real estate and rental rates increase with inflation.

REITs that invest in office spaces may benefit from economic expansion and more employees going to the office.",1,0,,1
REIT Residential,265,https://gainy-collections-production.s3.amazonaws.com/20220513/Real%20estate%20management%20(REIT%20Residential).jpg,"Real estate investment trusts are companies that own and operate real estate. REITs tend to pay meaningful dividends from the rental income they generate. REITs may provide some inflation protection as the value of real estate and rental rates increase with inflation.

Residential REITs may benefit from increasing rental rates and residential housing prices.",1,0,,1
REIT Retail,266,https://gainy-collections-production.s3.amazonaws.com/20220513/Real%20estate%20management%20(REIT%20Retail).jpg,"Real estate investment trusts are companies that own and operate real estate. REITs tend to pay meaningful dividends from the rental income they generate. REITs may provide some inflation protection as the value of real estate and rental rates increase with inflation.

Retail REITs may benefit from economic expansion and growing retail sales but can be harmed by increasing share of e-commerce.",1,0,,1
Silver Mining,267,https://gainy-collections-production.s3.amazonaws.com/20220513/Silver%20mining.jpg,"Silver mining companies acquire, develop, and operate precious metal fields, primarily mining for gold. The steady periods of growing silver prices benefit these companies.",1,0,,1
Social Media,268,https://gainy-collections-production.s3.amazonaws.com/20220513/Social%20Media.jpg,Global social media companies listed on US stock exchanges.,1,0,,1
Ukrainian-Led Companies,269,https://gainy-collections-production.s3.amazonaws.com/20220513/Ukrainian%20led%20companies.jpg,Public stock companies led or founded by Ukrainians.,1,0,,1
Utilities,270,https://gainy-collections-production.s3.amazonaws.com/20220513/Utilities.jpg,"Utility companies provide electric power, water and waste management, as well as other services related to infrastructure. Historically, these stocks are less volatile and have defensive qualities in times of market turmoil. ",1,0,,1
Video Game Industry,271,https://gainy-collections-production.s3.amazonaws.com/20220513/Video%20game%20industry.jpg,Global video game industry companies listed on US stock exchanges.,1,0,,1
Virtual Reality and AR,272,https://gainy-collections-production.s3.amazonaws.com/20220513/Virtual%20reality%20and%20AR.jpg,Virtual reality and augmented reality companies listed on US stock exchanges.,1,0,,1
Water Utilities,273,https://gainy-collections-production.s3.amazonaws.com/20220513/Water%20Utilities.jpg,"Companies that provide water and wastewater services for residential, commercial clients, and municipalities. Like most utilities, they tend to provide lower volatility and can be viewed as defensive assets. On the other hand, water utilities are often regulated. Therefore, their ability to catch up with inflation may be limited. ",1,0,,1
Railroads,274,https://gainy-collections-production.s3.amazonaws.com/20220513/Railroads.jpg,"The largest railroad operators in the US and Canada, as well as companies that produce and service railroad equipment. Railroad stocks may benefit from increased government spending on infrastructure. They provide cheaper and greener means of transportation for large shipments.",1,0,,1
Inflation-Proof,275,https://gainy-collections-production.s3.amazonaws.com/20220513/Inflation%20Proof.jpg,"An optimized selection of the largest stocks in sectors that have historically outperformed the market during periods of high inflation and increased probability of rising interest rates. Includes stocks in Energy, Real Estate, Banks, Insurance, Utilities, Food & Staples, and Retail.",1,0,,1
Dividend TTF by Stocksfor2day,276,https://gainy-collections-production.s3.amazonaws.com/influencers/Dividend%20TTF%20by%20DividendClub.png,Equally weighted portfolio of high dividend stocks curated by stocksfor2day. The portfolio is aimed at providing a steady monthly dividend stream.,0,0,1,0
Green Investments by OrganizedFinance,277,https://gainy-collections-production.s3.amazonaws.com/influencers/Green+Investments+by+OrganizedFinance.png,A collection of companies that have made efforts to reduce their negative impact on the environment and use resources more sustainably.,0,0,2,0
Dividend Community Portfolio by DividendClub,278,https://gainy-collections-production.s3.amazonaws.com/influencers/Dividend+community+portfolio+by+DividendClub.png,Active dividend community portfolio for DividendClub using the dividend yield theory to identify buy and sell.,0,0,3,0
Shorting The Housing Market by TradingLab,279,https://gainy-collections-production.s3.amazonaws.com/influencers/Shorting+The+Housing+Market+by+TradingLab.jpg,Here is a list of inverse ETFs you could potentially use to short the housing market. This collection is curated by TradingLab.,0,0,4,0
