symbol,gic_sector,gic_industry,gic_sub_industry,gic_group,description
CRGY,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,Energy,
CIVI,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,Energy,
BEAM,Health Care,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",
VERV,Health Care,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",
VIEW,Materials,Construction Materials,Construction Materials,Materials,
SWIM,Materials,Construction Materials,Construction Materials,Materials,
RSI,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,Consumer Services,
IGT,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,Consumer Services,
SOND,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",Consumer Services,
GNOG,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,Consumer Services,
BYRN,Industrials,Aerospace & Defense,Aerospace & Defense,Capital Goods,
VORB,Industrials,Aerospace & Defense,Aerospace & Defense,Capital Goods,
VATE,Industrials,Construction & Engineering,Construction & Engineering,Capital Goods,
ACI,Consumer Staples,Food & Staples Retailing,Food Retail,Food & Staples Retailing,
LOTZ,Consumer Discretionary,Specialty Retail,Automotive Retail,Retailing,
ALLG,Consumer Discretionary,Specialty Retail,Automotive Retail,Retailing,
WBX,Consumer Discretionary,Specialty Retail,Automotive Retail,Retailing,
VLTA,Consumer Discretionary,Specialty Retail,Automotive Retail,Retailing,
TPGY,Consumer Discretionary,Specialty Retail,Automotive Retail,Retailing,
EVGO,Consumer Discretionary,Specialty Retail,Automotive Retail,Retailing,
CHPT,Consumer Discretionary,Specialty Retail,Automotive Retail,Retailing,
AVO,Consumer Staples,Food Products,Agricultural Products,"Food, Beverage & Tobacco",
IREN,Financials,Capital Markets,Investment Banking & Brokerage,Diversified Financials,
ARBK,Financials,Capital Markets,Investment Banking & Brokerage,Diversified Financials,
MIGI,Financials,Capital Markets,Investment Banking & Brokerage,Diversified Financials,
HUT,Financials,Capital Markets,Investment Banking & Brokerage,Diversified Financials,
HIVE,Financials,Capital Markets,Investment Banking & Brokerage,Diversified Financials,
CORZW,Financials,Capital Markets,Investment Banking & Brokerage,Diversified Financials,
BTCM,Financials,Capital Markets,Investment Banking & Brokerage,Diversified Financials,
BTCS,Financials,Capital Markets,Investment Banking & Brokerage,Diversified Financials,
HOOD,Financials,Capital Markets,Investment Banking & Brokerage,Diversified Financials,
COIN,Financials,Capital Markets,Investment Banking & Brokerage,Diversified Financials,
VLD,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,
DM,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,
SHPW,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,
MKFG,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,
GATO,Materials,Metals & Mining,Silver,Materials,
WULF,Financials,Capital Markets,Investment Banking & Brokerage,Diversified Financials,
PSTL,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs,Real Estate,
CAN,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,
SDIG,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Software & Services,
DJI.INDX,,,,,"The Dow Jones Industrial Average is a stock index that tracks 30 of the largest U.S. companies. Created in 1896, it is one of the oldest stock indexes, and its performance is widely considered to be a useful indicator of the health of the entire U.S. stock market."
GSPC.INDX,,,,,The S&P 500 is one of the most watched stock market indexes in the world today. It tracks stocks of 500 largest companies in the U.S. This index is widely considered a standard benchmark for measuring market performance since it is the best representation of the broad U.S. economy.
IXIC.INDX,,,,,"The Nasdaq Composite Index or ‘The Nasdaq’ covers more than 3,000 stocks, all of which are listed on the Nasdaq Stock Market. This includes some of the biggest tech giants like Apple, Microsoft and Meta and the majority of other tech companies."
